title,address,access,age,floor,fee,management_fee,deposit,gratuity,floor_plan,area
ヴェルト日本橋シティ,東京都中央区日本橋箱崎町,"東京メトロ半蔵門線/水天宮前駅 歩2分
東京メトロ日比谷線/人形町駅 歩10分
東京メトロ東西線/茅場町駅 歩13分","築19年
14階建",4階,15.4万円,16000円,-,-,2K,44.35m2
プライムアーバン勝どき,東京都中央区勝どき６,"都営大江戸線/勝どき駅 歩8分
東京メトロ有楽町線/月島駅 歩17分
新交通ゆりかもめ/市場前駅 歩26分","築37年
10階建",5階,15.5万円,5000円,15.5万円,15.5万円,2K,42.39m2
東京メトロ半蔵門線 水天宮前駅 10階建 築11年,東京都中央区日本橋浜町３,"東京メトロ半蔵門線/水天宮前駅 歩4分
都営新宿線/浜町駅 歩8分
東京メトロ日比谷線/人形町駅 歩9分","築11年
10階建",10階,16.5万円,10000円,-,8.25万円,2DK,42.03m2
ＪＲ京葉線 八丁堀駅 11階建 築20年,東京都中央区新川２,"ＪＲ京葉線/八丁堀駅 歩4分
東京メトロ日比谷線/茅場町駅 歩11分
東京メトロ有楽町線/新富町駅 歩13分","築20年
11階建",2階,17.9万円,11600円,17.9万円,17.9万円,2DK,48.91m2
ＪＲ京葉線 八丁堀駅 11階建 築20年,東京都中央区新川２,"ＪＲ京葉線/八丁堀駅 歩4分
東京メトロ日比谷線/茅場町駅 歩11分
東京メトロ有楽町線/新富町駅 歩13分","築20年
11階建",2階,17.9万円,11600円,17.9万円,17.9万円,2DK,48.91m2
都営新宿線 馬喰横山駅 11階建 築19年,東京都中央区東日本橋３,"都営新宿線/馬喰横山駅 歩1分
都営浅草線/東日本橋駅 歩2分
ＪＲ総武線/浅草橋駅 歩11分","築19年
11階建",8階,17.8万円,8000円,17.8万円,17.8万円,2DK,44.44m2
グランシティ日本橋水天宮,東京都中央区日本橋中洲,"東京メトロ半蔵門線/水天宮前駅 歩5分
都営新宿線/浜町駅 歩8分
東京メトロ日比谷線/人形町駅 歩12分","築21年
13階建",6階,17.8万円,12000円,17.8万円,17.8万円,2DK,50.02m2
ザ・ライオンズフォーシア八丁堀,東京都中央区湊１,"ＪＲ京葉線/八丁堀駅 歩5分
東京メトロ有楽町線/新富町駅 歩9分
ＪＲ山手線/東京駅 歩20分","新築
10階建",2階,20.5万円,20000円,20.5万円,-,2DK,40.37m2
ザ・ライオンズフォーシア八丁堀,東京都中央区湊１,"ＪＲ京葉線/八丁堀駅 歩5分
東京メトロ有楽町線/新富町駅 歩9分
ＪＲ山手線/東京駅 歩20分","新築
10階建",3階,21.2万円,20000円,21.2万円,-,2DK,40.37m2
ザ・ライオンズフォーシア八丁堀,東京都中央区湊１,"ＪＲ京葉線/八丁堀駅 歩5分
東京メトロ有楽町線/新富町駅 歩9分
ＪＲ山手線/東京駅 歩20分","新築
10階建",4階,21.4万円,20000円,21.4万円,-,2DK,40.37m2
ザ・ライオンズフォーシア八丁堀,東京都中央区湊１,"ＪＲ京葉線/八丁堀駅 歩5分
東京メトロ有楽町線/新富町駅 歩9分
ＪＲ山手線/東京駅 歩20分","新築
10階建",5階,21.9万円,20000円,21.9万円,-,2DK,40.37m2
ザ・ライオンズフォーシア八丁堀,東京都中央区湊１,"ＪＲ京葉線/八丁堀駅 歩5分
東京メトロ有楽町線/新富町駅 歩9分
ＪＲ山手線/東京駅 歩20分","新築
10階建",6階,22万円,20000円,22万円,-,2DK,40.37m2
プライムアーバン日本橋浜町,東京都中央区日本橋浜町２,"都営新宿線/浜町駅 歩3分
東京メトロ半蔵門線/水天宮前駅 歩6分
都営浅草線/人形町駅 歩8分","築19年
14階建",9階,18万円,10000円,18万円,18万円,2DK,49.39m2
都営新宿線 浜町駅 14階建 築19年,東京都中央区日本橋浜町２,"都営新宿線/浜町駅 歩3分
東京メトロ半蔵門線/水天宮前駅 歩7分
都営浅草線/人形町駅 歩9分","築19年
14階建",9階,18万円,10000円,18万円,18万円,2DK,49.39m2
トーシンフェニックス日本橋兜町弐番館,東京都中央区日本橋兜町,"東京メトロ銀座線/日本橋駅 歩3分
東京メトロ日比谷線/茅場町駅 歩3分
東京メトロ銀座線/三越前駅 歩9分","築20年
8階建",3階,18万円,19000円,18万円,18万円,2DK,41.23m2
東京メトロ銀座線 日本橋駅 8階建 築20年,東京都中央区日本橋兜町,"東京メトロ銀座線/日本橋駅 歩3分
東京メトロ東西線/茅場町駅 歩3分
東京メトロ半蔵門線/三越前駅 歩9分","築20年
8階建",3階,18万円,19000円,18万円,18万円,2DK,41.23m2
メゾン・エクレーレ浜町公園,東京都中央区日本橋浜町２,"都営新宿線/浜町駅 歩4分
東京メトロ半蔵門線/水天宮前駅 歩9分
東京メトロ日比谷線/人形町駅 歩12分","築39年
11階建",4階,15.5万円,3000円,15.5万円,15.5万円,2DK,45m2
銀座レジデンス伍番館,東京都中央区湊２,"東京メトロ有楽町線/新富町駅 歩6分
東京メトロ日比谷線/八丁堀駅 歩7分
都営大江戸線/月島駅 歩10分","築20年
13階建",2階,19.2万円,-,19.2万円,19.2万円,2DK,50.38m2
銀座レジデンス伍番館,東京都中央区湊２,"東京メトロ有楽町線/新富町駅 歩6分
東京メトロ日比谷線/八丁堀駅 歩7分
都営大江戸線/月島駅 歩10分","築20年
13階建",4階,19.5万円,-,19.5万円,19.5万円,2DK,50.38m2
銀座レジデンス伍番館,東京都中央区湊２,"東京メトロ有楽町線/新富町駅 歩6分
東京メトロ日比谷線/八丁堀駅 歩7分
都営大江戸線/月島駅 歩10分","築20年
13階建",11階,21万円,-,21万円,21万円,2DK,52.21m2
東京メトロ日比谷線 八丁堀駅 7階建 築9年,東京都中央区新川２,"東京メトロ日比谷線/八丁堀駅 歩4分
東京メトロ日比谷線/茅場町駅 歩8分
ＪＲ山手線/東京駅 歩16分","築9年
7階建",2階,19.7万円,15000円,19.7万円,29.55万円,2LDK,40.78m2
東京メトロ日比谷線 茅場町駅 地下1地上12階建 築19年,東京都中央区新川２,"東京メトロ日比谷線/茅場町駅 歩4分
ＪＲ京葉線/八丁堀駅 歩6分
ＪＲ山手線/東京駅 歩16分","築19年
地下1地上12階建",3階,17.9万円,16000円,17.9万円,17.9万円,2LDK,52.86m2
